"Author_ID","Name","Notes"
86,John W. Moore,"John W. Moore received an A.B. magna cum laude from Franklin and Marshall College and a Ph.D. from Northwestern University. He held a National Science Foundation (NSF) postdoctoral fellowship at the University of Copenhagen and taught at Indiana University and Eastern Michigan University before joining the faculty of the University of Wisconsin-Madison in 1989. At the University of Wisconsin, Dr. Moore is W.T. Lippincott Professor of Chemistry and Director of the Institute for Chemical Education. He was Editor of the Journal of Chemical Education (JCE) from 1996 to 2009. Among his many awards are the American Chemical Society (ACS) George C. Pimentel Award in Chemical Education and the James Flack Norris Award for Excellence in Teaching Chemistry. He is a Fellow of the ACS and of the American Association for the Advancement of Science (AAAS). In 2003 he won the Benjamin Smith Reynolds Award at the University of Wisconsin-Madison in recognition of his excellence in teaching chemistry to engineering students. Dr. Moore is a major developer of online chemistry learning materials having collected and developed both video and tutorial materials available through the NSF-sponsored ChemEd DL.                        "
90,H.P. Lovecraft,
96,J. F. Bone,
100,Arthur Conan Doyle,
104,James Gelsey,
107,Roger Zelazny,"Roger Zelazny burst onto the SF scene in the early 1960s with a series of dazzling and groundbreaking short stories. He won his first of six Hugo Awards for Lord of Light, and soon after produced the first book of his enormously popular Amber series, Nine Princes in Amber. In addition to his Hugos, he went on to win three Nebula Awards over the course of a long and distinguished career. He died on June 14, 1995.                        "
109,Ernest A Wallis,
111,Donnelly Ignatius,
116,Peter Haining,
117,H. P. Blavatsky,
118,Clare Winger Harris,"Clare Winger Harris (1891–1968) was an early science fiction writer whose short stories were published during the 1920s. She is credited as the first woman to publish stories under her own name in science fiction magazines. Her stories often dealt with characters on the borders of humanity such as cyborgs. A native of Illinois, she died in Pasadena, California at age seventy-seven.                        "
119,John Keats,
120,Mary Wollstonecraft Shelley,
126,E. A. Wallis Budge,
131,Richard S. Shaver,
134,Robert E. Howard,
137,Leigh. Brackett,
141,Fred Saberhagen,
142,Editor) Lin Carter,
146,Poul Andersen,
148,Poul-Gerhard. Andersen,
155,Dover Thrift Editions,"Alan Lee was born in Middlesex in 1947. His illustrated books include Faeries (with Brian Froud), Castles and Merlin Dreams, and has worked on such prestigious films as Erik the Viking (Terry Gilliam), Legend (Ridley Scott), and the acclaimed NBC miniseries Merlin. He is best known however for his work on the book and film versions of The Lord of the Rings and The Hobbit.                        "
159,Brackett Leigh,
162,Andrew Humphries,
165,Thomas. Bulfinch,
167,Shaver-Richard,
172,Don Wilcox,
182,Andrew J. Offutt Robert E. Howard,
185,Poul-Gerhard Andersen,
187,Henry Brook Arthur Conan Doyle,
191,Crichton Andrew,
193,L. Sprague De Camp Robert E. Howard,
194,Noel Loomis,
197,Blavatsky H. P.,
199,Budge E. A. Wallis Sir,
203,Joan Aiken,
207,Helena Petrovna] Murphet Blavatsky,
211,Whitman Kipling,
212,Conan Doyle,
213,Jude Fisher,
215,Poul E. Andersen,
223,Philip MacDonald,
233,Carol Costello,
239,Henry James,
252,Rupert Hughes,
253,Helena Blavatsky,
255,C. L. Moore,
256,Eldred Oakes,
257,David Drake,
260,John Baxter,
265,John Brunner,
266,Nabia Abbott,
273,Emily / Robert N. Linscott Dickinson,
275,J. R. R. Tolkien,
277,Charles Fort,"Charles Fort's books include We Did Not Fear the Father: New and Selected Poems (Red Hen Press, 2012), MRS. BELLADONNA'S SUPPER CLUB WALTZ (The Backwaters Press, 2013), and The Town Clock Burning (Carnegie Mellon University Press, Classic Contemporary Series). Fort's poems have appeared in such journals, periodicals, and anthologies as The Best American Poetry 2003, The Best American Poetry 2000, Best of Prose Poem International, and The American Poetry Review. He is the founder of the Wendy Fort Foundation Theater of the Arts. A past MacDowell fellow, Fort is currently at work on a novel: The Last Black Hippie in Connecticut.                        "
279,Editors Of Time-Life Books,
280,Elizabeth Barrett Browning,"Roy Jay Cook was a published author, compiler, and an editor of children's books. Some of the published credits of Roy Jay Cook include 101 Famous Poems.                        "
285,Thomas Malory,
286,Edmond Hamilton,
289,August William Derleth,
290,H-P Lovecraft August Derleth,
292,Christie Agatha,
298,Helena Pe Blavatsky,
300,John William Polidori,John William Polidori (7 September 1795 – 24 August 1821) was an English writer and physician. He is known for his associations with the Romantic movement and credited by some as the creator of the vampire genre of fantasy fiction.                        
309,Thomas Godfrey,
314,Lars Bo,
322,Budge E. A. Wallis,"Many examples of Egyptian funerary scrolls exist. The version used in this edition is that of the famous and well-preserved Papyrus of Ani, written around 1500 B.C. Ani was the Royal Scribe of Thebes, Overseer of the Granaries of the Lords of Abydos, and Scribe of the Offerings of the Lords of Thebes. As such, he was honored with a fine example of a funerary papyrus.                        "
323,Ben King Walt Whitman,
325,Emily / Thomas H. Johnson Dickinson,
326,Ignatius. Donnelly,
328,William Blake,"Stanley Appelbaum served for decades as Dover's Editor in Chief until his retirement in 1996. He continues to work as a selector, compiler, editor, and translator of literature in a remarkable range of languages that includes Spanish, Italian, French, German, and Russian.                        "
330,Herman Melville,"Herman Melville (1819–1891) found early success with stories inspired by his adventures in the South Seas. His fortunes declined with the 1851 publication of Moby-Dick, now recognized as a masterpiece but scorned by Melville's contemporaries. The author was obliged to work as a New York City customs inspector and died in obscurity, three decades before the critical reassessment of his work.                        "
335,Ultimate Publishing Co.,
338,L. Sprague de Camp,
344,Iain M. Banks,
347,Moorcock Michael,
353,Leigh Douglas Brackett,
364,Mark Twain,
366,August,
369,J. R. R Tolkien,
375,Poul Martin Møller,
376,Jules Verne,
383,Wallis Budge,
388,Professor E A Wallis Budge,
391,Ernest Alfred Wallis Budge,
392,Andrew Crichton William Jardine,
394,Andrew J. Offutt,
396,John/Lin. Baxter/Carter,
398,Ernest A. Wallis Budge,"E. A. Wallis Budge, the author of numerous books, was once the Keeper of Egyptian and Assyrian Antiques in the British Museum.                        "
403,Suzanne Church,"Suzanne Church lives near Toronto, Ontario with her two teenaged sons. She is a 2011 and 2012 Aurora Award finalist for her short fiction. She writes Science Fiction, Fantasy, and Horror because she enjoys them all and hates to play favourites. When cornered she becomes fiercely Canadian. Her stories have appeared in Cicada, Clarkesworld, and On Spec, and in several anthologies including Chilling Tales: Evil Did I Dwell; Lewd I Did Live and Tesseracts 14.                         "
406,Laurence Binyon,
407,Philip E High,
413,Rudyard Kipling,
414,August W. Derleth,
416,Mack Reynolds,
424,Sam Moskowitz,
426,Derleth August,
427,La Voix De Skaith Brackett Leigh,
428,Joseph Campbell,
429,William Jardine,
430,Andrew Offutt,
432,A. A. Walde,
433,Pierre Loti,"Pierre Loti (1850 - 1923) was a French naval officer and novelist, known for his exotic novels. Loti served in the South Seas as part of his naval training, living in Papeete, Tahiti for two months in 1872, where he went native. Several years later he published the Polynesian idyll originally titled Rarahu (1880), which was reprinted as Le Mariage de Loti, the first book to introduce him to the wider public. His narrator explains that the name Loti was bestowed on him by the natives, after his mispronunciation of roti (a red flower). The book inspired the 1883 opera Lakmé by Léo Delibes. Loti Bain, a shallow pool at the base of the Fautaua Falls, is named for Loti.                        "
438,Robert E. Margroff,
441,Walter Scott Amelia B. Edwards,
444,Adolphe Danziger de Castro,
447,E. A. Wallis. Budge,
448,Theodore Sturgeon,
449,Abraham Merritt,
466,Arthur Miller,
470,Laurence M Janifer,
471,Idris Seabright,
473,Robert Arthur,
483,Richard Matheson,
484,Thomas Moore,"Thomas Moore is the author of the bestselling Care of the Soul and twenty other books on spirituality and depth psychology that have been translated into thirty languages. He has been practicing depth psychotherapy for thirty-five years. He lectures and gives workshops in several countries on depth spirituality, soulful medicine, and psychotherapy. He has been a monk and a university professor, and is a consultant for organizations and spiritual leaders. He has often been on television and radio, most recently on Oprah Winfrey’s Super Soul Sunday.                        "
488,Storm Petersen,
491,J.C. Christensen,
495,Nathaniel,
497,Clark Ashton Smith,
500,Nabia. Abbott,
501,Jack Vance,
505,H G Wells,
509,Lord Dunsany,
511,Grant.Includes.Rinehart Overton,
512,Leo Margulies,
513,Alexander Blade,
520,Drake,
523,Stephen Crane,
532,Dickens The Mystery Of Edwin Drood,
533,Harlan / Carter Ellison,
535,Ted White,
536,Stanton Coblentz With) Clare Winger Harris,
539,August. Derleth,
544,L. Sprague De Camp,"L. Sprague de Camp, a SFWA Grand Master and winner of the World Fantasy Award for Life Achievement, wrote the definitive biography of Conan's creator, Robert E. Howard. De Camp died in 2000.Lin Carter was the key figure behind the popular Ballantine Adult Fantasy Series of the 1970s. He died in 1988.                        "
547,Stuart Moore,"Stuart Moore has been a writer, a book editor, and an award-winning comics editor. His current writing includes Namor: The First Mutant (Marvel Comics), The 99 (Teshkeel) and crossover series JLA/99 (DC Comics), and the original graphic novel SHADRACH STONE (Penny-Farthing Press). He has also written Firestorm (DC Comics), the original science-fiction series Earthlight (Tokyopop) and PARA (Penny-Farthing Press), and the prose novels American Meat and Reality Bites (Games Workshop). He was a founding editor of DC's Vertigo imprint, and has also edited the Marvel Knights and Virgin Comics/SciFi Channel comics lines. Stuart lives in Brooklyn, New York with his wife, author Liz Sonneborn, and two of the most spoiled cats on the planet. Edgar Rice Burroughs, 1875-1950Edgar Rice Burroughs is renowed for his many novels of fantastic adventure. Unquestionably his best-known creation is that of the jungle hero, Tarzan the Ape Man, but almost as well known are his stories of other planets beginning with the very popular Mars series. A torrent of novels followed: stories about Venus, tales of the Moon and of the middle Earth, westerns, and detective stories. In all, nearly one hundred stories bore Edgar Rice Burroughs' name.Born in Chicago in 1875, he tried his hand at many businesses without notable success, until at the age of thirty-five, he turned to writing. With the publication of Tarzan of the Apes and A Princess of Mars, his career was assured. By the time of his death in 1950, at his home in a town bearing the name of his best known work, Tarzana, California over 40 million copies of Edgar Rice Burroughs books have appeared in 58 different languages.                        "
551,Sophia Lane Poole,
560,Edgar Allan Poe,
579,Wallace West,
580,Sonya Dorman,
587,Crichton,
592,William Carlos Williams,
596,Guy R. Williams,
597,Robert Saffron,
602,Andrew Crichton,
622,Gardner Raymond Dozois,
626,Johnathan Swift,
634,Vincent Difate,
648,Elizabeth Dickinson,
652,Christine Cotting,
658,Robert Silverberg,
667,Theodore Enslin,
673,H.G. Wells,
676,Raymond Palmer,
678,Samuel Katz,
683,Francis Stevens,
688,Charlotte Bronte Charlotte Brontë,
695,E. A. W. Budge,
698,Dickens Charles,
719,Manly Wade Wellman,
740,Rachel Carson,
748,Robert A. Lowndes,
749,Lin Carter L. Sprague De Camp,
750,Jane] Hodge [Austen,
751,Hannes Bok Lin Carter,
757,Charles Dickens Edgar Allan Poe,
775,Ebbe Sadolin,
781,Anonymous,
799,August-Editor Derleth,
800,Isaac Asimov,
802,Rollo L.,
809,E. A Wallis Budge Budge,
813,Rice Burroughs,"Edgar Rice Burroughs was born in Chicago, Illinois in 1875. After serving a short time in the 7th U.S. Cavalry, Burroughs was a shopkeeper, gold miner, cowboy, and policeman before becoming a full-time writer. His first novel, Tarzan of the Apes, was published in 1914, and along with its 22 sequels has sold over 30 million copies in 58 languages. Author of numerous other jungle and science fiction novels and novellas, including The Land That Time Forgot, Burroughs had a writing career that spanned almost 30 years, with his last novel, The Land of Terror, being published in 1941. He died in 1950 at his ranch near Tarzana, the California town named for his legendary hero.                        "
818,William Tenn,
819,Poul Carit. Andersen,
822,Alan Barrister,
830,Andre Norton,"For well over a half century, Andre Norton has been one of the most popular science fiction and fantasy authors in the world. Since her first SF novels were published in the 1940s, her adventure SF has enthralled readers young and old. With series such as Time Traders, Solar Queen, Forerunner, Beast Master, Crosstime, and Janus, as well as many stand-alone novels, her tales of action and adventure throughout the galaxy have drawn countless readers to science fiction. Her fantasy, including the best-selling Witch World series, her Magic series, and many other unrelated novels, has been popular with readers for decades. Lauded as a Grand Master by the Science Fiction Writers of America, she is the recipient of a Life Achievement Award from the World Fantasy Convention. Not only have her books been enormously popular; she also has inspired several generations of SF and fantasy writers, especially many talented women writers who have followed in her footsteps. In the past two decades she has worked with other writers on a number of novels. Most notable among these are collaborations with Mercedes Lackey, the Halfblood Chronicles, as well as collaborations with A.C. Crispin (in the Witch World series) and Sherwood Smith (in the Time Traders and Solar Queen series). An Ohio native, Ms. Norton lived for a number of years in Winter Park, Florida, and now makes her home in Murfreesboro, Tennessee, where she continues to write, and presides over High Hallack, a writers' resource and retreat.                        "
839,Carys Cragg,"Carys Cragg: Carys Cragg is faculty in Child, Family & Community Studies at Douglas College. Her personal essays reviews have appeared in The Globe & Mail and The Tyee, amongst others. She is a graduate of of the Writer’s Studio at Simon Fraser University.                        "
847,Orson Scott,
853,Frances Baker Mason,
860,Valdemar] Andersen Andersen,
870,Walt Whitman,
872,E. Wallis Budge,
875,William Faulkner,
876,Ambrose Gwinnett Bierce,"Ambrose Gwinnett Bierce (June 24, 1842 - 1914?) was an American editorialist, journalist, short story writer, fabulist and satirist. Today, he is best known for his short story, An Occurrence at Owl Creek Bridge and his satirical dictionary, The Devil's Dictionary. The sardonic view of human nature that informed his work - along with his vehemence as a critic - earned him the nickname Bitter Bierce. Despite his reputation as a searing critic, however, Bierce was known to encourage younger writers, including poet George Sterling and fiction writer W. C. Morrow. He is known for his distinctive style of writing, which his stories often share. This includes a cold open, use of dark imagery, vague references to time, limited description, war-themed pieces, and use of impossible events. In 1913, Bierce traveled to Mexico to gain a firsthand perspective on that country's ongoing revolution. While traveling with rebel troops, the elderly writer disappeared without a trace. (wikipedia)                        "
884,Helena Petrova Blavatsky,
899,Thomas Bulfinch.,
908,Ambrose (Adapted. Bierce,
913,Fantasies Mcgill,
929,Brackett Leigh.,
936,Richard Voss,
937,Anthony Boucher,
942,James Henry Gray,"James Gray, one of western Canada's finest social historians, was born in Whitemouth, Manitoba, in 1906. We worked for the Winnipeg Free Press for many years and went on to edit several other publications. In 1947, he relocated to Calgary, where he worked with the Home Oil Company for twenty years before retiring to embark on a new career as a historian. He passed away on 12 November 1998 in Calgary at the age of ninety-two.                         "
943,Ed.),
952,Barrows Bennett,
954,Emily / Robert N. Linscott Editor Dickinson,
957,Derleth,
958,Charles R. Tanner,
960,John Kennett,
961,Bierce,"Ambrose Bierce was an American writer, critic and war veteran. Bierce fought for the Union Army during the American Civil War, eventually rising to the rank of brevet major before resigning from the Army following an 1866 expedition across the Great Plains. Bierce s harrowing experiences during the Civil War, particularly those at the Battle of Shiloh, shaped a writing career that included editorials, novels, short stories and poetry. Among his most famous works are An Occurrence at Owl Creek Bridge, The Boarded Window, Chickamauga, and What I Saw of Shiloh. While on a tour of Civil-War battlefields in 1913, Bierce is believed to have joined Pancho Villa s army before disappearing in the chaos of the Mexican Revolution.                        "
969,George Lucas,
982,John Wilstach,
984,Henry David Thoreau,
987,Vic Ghidalia,
993,Frank Gruber,
1003,Foreword By),
1005,Richard Lancelyn Green,
1006,John R. Lawn,
1012,Wallis Budge E. A.,
1021,Hugo Gernsback,
1022,Lin. Carter,
1036,Pachomius Pachomius,"E. A. Wallis Budge, the author of numerous books, was once the Keeper of Egyptian and Assyrian Antiques in the British Museum.                        "
1041,Ernest Alfred Thompson Wallis Budge,
1045,Joseph R. Weintraub James M. Hunt,
1046,William. Memoir Of Bruce By Andrew Crichton. Swainson,
1048,Vincent Sheehan,
1053,Carter Lin:,
1059,Janet Stevenson,
1060,Doyle Arthur Conan,
1064,L. L. Woods,
1066,Weird Tales: Edmond Hamilton,
1068,Robert N. Linscott,"Virtually unknown as a poet in her lifetime, Emily Dickinson (1830-86) is now recognized as one of the most unaccountably strange and marvelous of the world’s great writers. Unique in their form, their psychic urgency, and their uncanny, crystalline power, her poems represent a mind unlike any other to be found in literature.                        "
1073,Sydney Van Scyoc,
1075,Mary Ann Lamb,
1081,Johnston Mccully,
1095,Helen Tono,
1103,Andersen Poul,
1104,John Mandeville,
1105,Arthur W. Saha,
1106,Richard S Shaver,
1111,Ernest Budge,
1121,Arthur Conan-Doyle,"Sir Arthur Conan Doyle (1859-1930) was born in Edinburgh where he qualified as a doctor, but it was his writing which brought him fame, with the creation of Sherlock Holmes, the first scientific detective. He was also a convert to spiritualism and a social reformer who used his investigative skills to prove the innocence of individuals.                        "
1122,Charles-Dickens,
1126,Michael Moorcock,
1136,Thomas M'Crie,
1137,Leslie Bain,
1138,Calvin Beck,
1146,Mabel Loomis Todd Emily Dickinson,
1147,Lin Carter L Sprague De Camp,
1148,Linda Parry,
1151,Thomas Burnett Swann,
1154,George Gordon Elizabeth Barrett Browning,"Roy Jay Cook was a published author, compiler, and an editor of children's books. Some of the published credits of Roy Jay Cook include 101 Famous Poems.                        "
1156,John Green Edgar Rice Burroughs,"Edgar Rice Burroughs (1875-1950) is the creator of Tarzan, one of the most popular fictional characters of all time, and John Carter, hero of the Barsoom science fiction series. Burroughs was a prolific author, writing almost 70 books before his death in 1950, and was one of the first authors to popularize a character across multiple media, as he did with Tarzan s appearance in comic strips, movies, and merchandise. Residing in Hawaii at the time of the attack on Pearl Harbour in 1941, Burroughs was drawn into the Second World War and became one of the oldest war correspondents at the time. Edgar Rice Burroughs s popularity continues to be memorialized through the community of Tarzana, California, which is named after the ranch he owned in the area, and through the Burrough crater on Mars, which was named in his honour.John Green attended a boarding school in Alabama not unlike Alaska's Culver Creek. After graduating from college in 2000, he worked as a chaplain at a children's hospital. His experiences with patients and their families during intense crises solidified his desire to write for teens and inspired him to bring his comic sensibility to a candid novel about the excitement of breaking the rules and the challenge of confronting loss. John now writes for several national magazines, both print and Web-based. He is also a commentator for National Public Radio's afternoon newsmagazine, All Things Considered, and Chicago's NPR affiliate, WBEZ.                        "
1159,Raymond C. Palmer,
1165,William Temple,
1166,D Allen Morrisey,
1187,E.A. Wallis Budge,
1188,Helena Petrowna Blavatsky,
1190,De Camp,
1200,Eric Von Daniken,
1207,Rudolph Dirks,
1210,A. E. Van Vogt,
1213,Famous Fantastic Mysteries,
1215,Emily) Dickinson,
1217,Daniel Defoe,"L. J. Swingle is Professor Emeritus of English Literature at the University of Kentucky, where his primary field of study is the intellectual contexts of British Romanticism as reflected in the works of eighteenth- and nineteenth-century poets and novelists.                        "
1222,Lin / Neville Carter,
1223,Samuel Loveman,
1240,Ramsey Campbell,
1247,Andrew // Lyon Offutt,
1252,H. G. Wells,
1259,Thomas H. Johnson,
1262,Kate Wilhelm,
1265,Tanya Barnard,
1268,Rozanne Lanczak Williams,"Williams, a former elementary school teacher of 14 years, is a full-time mom and freelance writer.                        "
1270,H.P. Derleth Lovecraft,
1280,Jr. Walter M. Miller,
1288,James Joyce,
1296,Henry Kuttner,
1311,Andrew. Crichton,
1318,Ivor Bertram John,
1319,Henry A Wallace,
1329,Emily] Clendenning Dickinson,
1332,H. P Lovecraft,
1333,Jr. Hendryx,
1334,Robert Donald Spector Charles Dickens,
1348,Blavatsky Helena P.,
1350,Thomas Stanley William Hayter Bulfinch,
1354,Ambrose. Introduction By Clifton Fadiman. Bierce,
1358,Thomas With J Loughran Scott Editor Bulfinch,
1361,Richard B. Sewall,
1372,Arthur Machen,
1375,Anne Bradstreet,
1384,Christopher Tolkien J.R.R. Tolkien,
1402,Ptrovna Blavatsky,
1403,Graham Mcnamee,"GRAHAM McNAMEE is the award-winning author of five novels, including Sparks, which won the first PEN/Phyllis Naylor Working Writer Fellowship; Bonechiller; and Acceleration, winner of the Edgar Award for Best Young Adult Mystery.                        "
1413,Emily / Scott Dickinson,
1439,Murray Leinster Arthur C. Clarke,
1440,James Branch Cabell,
1446,George Lipscomb,
1448,Richard S. Weinstein Gordon R. Dickson,
1453,Norman,
1457,Author),
1459,Richard Shaver,
1461,Elaine Lalanne,"ELAINE LALANNE has used juicing to complement her health-and-fitness lifestyle for many years. She authored four books and traveled extensively with her late husband, Jack LaLanne, lecturing and promoting the LaLanne fitness message. The LaLannes were married for over 50 years.JACK LALANNE was an American fitness, exercise, and nutritional expert and motivational speaker known as the godfather of fitness. He died in 2011 at the age of 96.                        "
1466,Cecilia Dart-Thornton,"Cecilia Dart-Thornton's interests include playing music, oil painting, graphic design, photography, and clay sculpture. She lives in Australia.                         "
1474,Philip E. High,
1476,Editor),
1477,E Hoffmann Price With H P Lovecraft,
1478,Robert Moore Williams A E Van Vogt,
1479,Bulfinch.Thomas,
1492,John C. Peters Ph.D. James O. Hill Ph.D.,"James O. Hill, Ph.D. is Professor of Pediatrics and Medicine at the University of Colorado Denver, Colorado. Dr. Hill also serves as the Director of the Center for Human Nutrition, a nutrition center funded by the National Institutes of Health. He holds a B.S. degree from the University of Tennessee and M.S. and Ph.D. degrees from the University of New Hampshire in Physiological Psychology. He has served on numerous government panels, including the National Institutes of Health (NIH) Taskforce on the Prevention and Treatment of Obesity. He is a past chair of the NIH Nutrition Study Section. He served as Chair of the World Health Organization Consultation on Obesity in 1997. He is a Past President of the North American Association for the Study of Obesity (NASSO) and is a current regional vice-president of the International Association for the Study of Obesity (IASO). He was also a member of the Expert Panel on Obesity of the National Institutes of Health that developed U.S guidelines for the treatment and prevention of obesity. He serves as chair of the Partnership to Promote Healthy Eating and Active Living (PPHEAL), a public-private partnership to improve nutrition and physical activity patterns of the population. He is a member of several other professional organizations, including the American Society of Clinical Nutrition, the American Society of Nutrition Sciences, the American Physiological Society and the American College of Sports Medicine. Dr. Hill has published more than 200 scientific articles and book chapters in the area of obesity. His research in the obesity field involves the study of lifestyle factors that affect body weight regulation. In particular, he is interested in how diet and physical activity influence body weight and how high fat diet and inactivity may contribute to the current global epidemic of obesity. Dr. Hill is a cofounder of the National Weight Control Registry, a registry of individuals who have been successful in maintenance of a reduced body weight. He is the recipient of a prestigious MERIT award from NIH. Dr. Hill is a member of the editorial boards of Obesity Research, The American Journal of Clinical Nutrition and The International Journal of Obesity. He reviews for many other scientific journals and lectures widely about the obesity epidemic. "
1496,Raymond C. Moore,
1505,Lin / Baxter Carter,
1511,August Edited By Derleth,
1526,Agatha Christie Mallowan,
1528,August W. Beaumont Derleth,
1537,Marilyn Jax,
1538,Budge E. Wallis,"Many examples of Egyptian funerary scrolls exist. The version used in this edition is that of the famous and well-preserved Papyrus of Ani, written around 1500 B.C. Ani was the Royal Scribe of Thebes, Overseer of the Granaries of the Lords of Abydos, and Scribe of the Offerings of the Lords of Thebes. As such, he was honored with a fine example of a funerary papyrus.                        "
1543,Robert E. Howard / Leigh Brackett,
1547,Dean Mclaughlin,
1554,Caitlin Matthews,
1565,Leigh Brackett.,
1572,Lin Carter/George H. Smith,
1582,Hans Stefan Santesson,
1587,Thomas,
1588,William Tenn Fritz Leiber Jr.,
1597,H. P.,
1606,Avram Davidson,
1611,Robert Louis Stevenson Mary Wollstonecraft Shelley,
1613,Writing As David Grinnell),
1620,H.P./ Derleth Lovecraft,
1640,Steve Keels,
1642,Ambrose Bierce Edgar Allan Poe,
1643,Ray Cummings,
1657,Michael Og Poul Otto Nielsen Andersen,
1662,Jon Longhi,
